SENTENCE,MAIN,N
아이스아메리카노 하나요,일반주문,81
네 텀블러에 넣어주세요,텀블러사용,103
그란데 사이즈로 주세요,일반주문,81
저 카푸치노로 주문할게요,일반주문,81
그럼 2000원 추가해서 브레드도 같이 시킬게요,결제요청,4
저 도장 다 모았는데 나중에 써도 되나요?,기프티콘쿠폰멤버십사용문의,11
이 기프티콘 여기서 사용할 수 있나요?,기프티콘쿠폰멤버십사용문의,11
그럼 이 기프티콘 쓰고 다른걸로 주문할게요,일반주문,81
자바칩 프라푸치노에 휘핑 빼고요,일반주문,81
여기 기프티콘 대면 되죠?,결제요청,4
"따뜻한 아메리카노 한 잔, 아이스라떼 한 잔이요.",일반주문,81
"네, 그런데 중간에 테이크 아웃도 가능한가요?",남은음료테이크아웃문의,12
"네, 스콘도 3개 같이 주세요.",일반주문,81
카푸치노 차갑게 되나요?,일반주문,81
아이스 카푸치노 개인컵에 주실 수 있나요?,텀블러사용,103
음료와 같이 먹을 빵 추천해주세요,메뉴추천요구,32
모바일 쿠폰으로 결제할 수 있어요?,기프티콘쿠폰멤버십결제요구,9
화장실은 어디에 있나요?,화장실위치문의,124
여기에서 제일 잘나가는 커피가 뭐에요?,메뉴추천요구,32
라이트한 맛의 아이스아메리카노요?,메뉴문의,29
"그럼 그거 한잔하고, 카페라떼 주세요.",일반주문,81
아메리카노 톨 사이즈로 주세요,일반주문,81
네 그리고 이 맴버쉽 할인 사용할게요,할인요청,117
진동밸을 따로 주시나요?,픽업문의,115
와이파이 비밀번호는 뭐에요?,와이파이문의,70
계절메뉴 주문가능한가요?,계절메뉴주문문의,6
배달 하시나요?,배달문의,40
콘센트 자리 있나요?,콘센트자리문의,100
커피에 샷 추가 가능한가요?,에스프레소샷개수요구,63
남은 음료 담아 주시나요?,남은음료테이크아웃문의,12
밀크티 있나요?,메뉴문의,29
밀크티에 혹시 우유가 들어가나요 아니면 우유 분말이 들어가나요?,재료문의,85
밀크티 홍차 종류는 뭐가 있어요?,메뉴문의,29
그럼 루이보스 밀크티 하나 주시겠어요?,일반주문,81
쿠폰 주시나요?,쿠폰문의,102
아이스 아메리카노 한잔이요,일반주문,81
텀블러 가져왔는데 여기에 담아주세요,텀블러사용,103
쿠폰 있는데 도장도 찍어주세요,쿠폰멤버십적립문의,101
다음번에 무료로 하고 이번엔 새로 도장 찍어주세요,쿠폰멤버십적립문의,101
2명 창가자리에 앉을 수 있을까요?,자리여부문의,84
저는 우선 따뜻한 물이랑 커피주세요,일반주문,81
혹시 빵 종류도 있나요?,빵종류문의,46
아메리카노 한 잔에 얼마죠?,가격문의,2
사이즈업 되나요?,사이즈문의,47
두 잔 테이크아웃 할게요.,테이크아웃요구,106
이 쿠폰 쓸 수 있죠?,기프티콘쿠폰멤버십사용문의,11
얼마나 걸리나요?,제조시간문의,87
카푸치노 한잔이랑 아메리카노 두잔 주세요.,일반주문,81
카푸치노는 빅사이즈로 주시고 아메리카노는 스몰로 주시겠어요?,사이즈요구,48
얼마나 걸릴까요?,제조시간문의,87
음료랑 다 해서 얼마에요?,가격문의,2
죄송한데 조각 케이크도 추가해주시겠어요?,메뉴추가주문,31
아메리카노 한잔 주세요.,일반주문,81
"네, 텀블러에 담아주실 수 있나요? ",텀블러사용,103
텀블러 할인 있나요?,텀블러할인문의,104
치즈케익도 하나 주세요.,메뉴추가주문,31
삼성페이 되나요?,모바일페이결제,35
아메리카노 한잔 주문 할 수 있을까요?,일반주문,81
아메리카노는 어떤 종류가 있나요?,메뉴문의,29
디카페인으로 한잔 주문할게요.,일반주문,81
카카오 페이로 결제 가능한가요?,모바일페이결제,35
포인트 적립 같이 할 수 있나요?,쿠폰멤버십적립문의,101
커피 주문할게요,메뉴문의,29
네 오늘의 커피로 주세요,일반주문,81
아 네 제일 양이 적은 숏으로 할게요,사이즈요구,48
근데 오늘의 커피는 무슨커피로 하나요 매번 맛이 다르던데,메뉴문의,29
페퍼민트 티 하나주세요.,일반주문,81
사이즈업 되나요?,사이즈문의,47
머핀은 뭐가 제일 맛있나요?,메뉴추천요구,32
그럼 블루베리 머핀도 같이 주세요.,일반주문,81
현금 영수증 해주세요.,현금영수증요청,122
주문하려고 해요.,메뉴문의,29
아이스 아메리카노랑 따뜻한 라떼로 주세요.,일반주문,81
둘 다 톨 사이즈로 주세요.,사이즈요구,48
아 그리고 라떼는 우유 좀 적게 주세요.,물우유량요구,37
아아 주문 가능한가요?,영업시간문의,67
언제 음료가 나오나요?,제조시간문의,87
혹시 아이리쉬 커피도 판매하나요?,메뉴문의,29
캐리어에 넣어 주실 수 있나요?,캐리어요구,98
실내에서 일회용 사용 가능한가요?,매장내에서일회용사용문의,25
한사람당 한잔씩 시켜야 하나요?,1인1잔문의,0
쿠키프라페에 휘핑 들어가있나요?,재료문의,85
휘핑 빼주실 수 있나요?,특정재료첨삭요구,111
그러면 아메리카노 하나랑 쿠키프라페 휘핑빼고 하나주세요,일반주문,81
아이스로 주세요,일반주문,81
아메리카노 주세요,일반주문,81
차갑게 주세요,일반주문,81
허니브레드는 얼마에요?,가격문의,2
얼마나 걸려요?,제조시간문의,87
포장도 되나요?,테이크아웃문의,105
아이스 아메리카노 한 잔 가능한가요?,일반주문,81
헤이즐넛 시럽도 조금넣어 주실 수 있나요?,시럽설탕요구,52
그럼 사이즈업은 얼마 추가인가요?,옵션추가요구,69
포인트 적립해 주세요.,쿠폰멤버십적립문의,101
매장에서 테이크아웃잔 사용 가능한가요?,매장내에서일회용사용문의,25
카페라테 한 잔 주세요,일반주문,81
베이글도 하나 부탁드려요,일반주문,81
베이글 크림은 어떤 게 있나요?,메뉴문의,29
어니언 크림으로 부탁드릴게요,일반주문,81
아이스 아메리카노 한 잔 주세요,일반주문,81
네 여기 오천 원이요,결제요청,4
음료 사이즈 업 가능한가요?,사이즈요구,48
아이스 아메리카노 사이즈 업해주세요,일반주문,81
아이스 아메리카노에 샷이 몇 개 들어가죠?,메뉴문의,29
아이스 아메리카노에 샷 하나 더 추가할게요,에스프레소샷개수요구,63
아메리카노 한 잔 주세요,일반주문,81
음료 한 잔 더 추가되나요?,메뉴추가문의,30
바닐라라테도 하나 주세요,일반주문,81
카페라테 한 잔 주세요,일반주문,81
네 카페라테 디카페인 되나요?,메뉴문의,29
네 카페라테 디카페인으로 주세요,일반주문,81
카페라테 디카페인 맞나요?,메뉴문의,29
자몽에이드 한 잔 얼마에요?,가격문의,2
자몽에이드 사이즈업 되나요?,사이즈요구,48
생크림 케이크는 뭐가 제일 맛있어요?,메뉴추천요구,32
자몽에이드랑 과일 생크림 케이크 주세요,일반주문,81
포장 가능하죠?,테이크아웃문의,105
아이스 프라푸치노 주세요,일반주문,81
새벽에도 영업해요?,영업시간문의,67
아메리카노 한 잔 주세요,일반주문,81
네 화장실은 어디에요?,화장실위치문의,124
와이파이 비밀번호는 뭐예요?,와이파이문의,70
딸기 스무디 되나요?,주문가능여부문의,90
따뜻한 라테 한 잔 주세요,일반주문,81
이 쿠키도 함께 주세요,일반주문,81
시즌 메뉴 오늘도 가능한가요?,주문가능여부문의,90
프리퀀시 적립하고 있는데 시즌 메뉴도 하나만 적립되나요?,쿠폰멤버십적립문의,101
시즌 메뉴와 함께 구성되어 있는 세트 메뉴가 있나요?,메뉴문의,29
기프티콘도 세트메뉴에 사용 가능한가요?,기프티콘쿠폰멤버십사용문의,11
이 기프티콘으로 대체할 수 있는 시즌 메뉴는 무엇인가요?,기프티콘쿠폰멤버십메뉴변경문의,10
라테에 우유 대신 두유로도 변경 가능한가요?,우유변경,71
그럼 두유로 바꿔서 카페라테 두 잔 주세요,일반주문,81
커피 캐리어도 주실 수 있나요?,테이크아웃요구,106
저 따뜻한 아메리카노 한 잔하고 아이스 라테 한 잔 주세요,일반주문,81
이 치즈케이크도 한 조각 주세요,일반주문,81
네 몇 분 정도 걸릴까요?,제조시간문의,87
네 2층이 넓은가요?,시설문의,54
카페인이 들어있지 않은 음료 있나요?,메뉴문의,29
스무디 한 잔 주세요,일반주문,81
딸기스무디랑 키위스무디는 생과일인가요?,메뉴문의,29
그럼 딸기 스무디 하나 주세요,일반주문,81
아메리카노 한 잔이요,일반주문,81
네 휴지도 같이 주시겠어요?,냅킨물티슈요구,15
여기 포인트도 적립되나요?,쿠폰멤버십적립문의,101
디카페인 커피도 판매하나요?,메뉴문의,29
디카페인 아이스 아메리카노 한 잔 주세요,일반주문,81
치즈케이크도 한 조각 주세요,일반주문,81
영수증 챙겨주세요,영수증요청,66
커피음료 아닌 것 뭐가 있나요?,메뉴문의,29
주스 어떤 종류 있나요?,메뉴문의,29
딸기 주스로 주세요,일반주문,81
당근 케이크 같이 주세요,일반주문,81
카드 결제할게요,결제요청,4
플랫 화이트가 뭔가요?,메뉴문의,29
플랫 화이트 한 잔 주세요,일반주문,81
얼마인가요?,가격문의,2
치즈케이크 있나요?,주문가능여부문의,90
네 레드벨벳 케이크 주세요,일반주문,81
차 종류는 어떤 게 있나요?,메뉴문의,29
페퍼민트는 없나요?,메뉴문의,29
카페인이 적고 따뜻한 다른 음료 좀 추천해주세요,메뉴추천요구,32
밀크티는 티를 직접 우려서 나오는 건가요?,메뉴문의,29
따뜻한 밀크티 주세요,일반주문,81
아이스 아메리카노 한 잔 주문할게요,일반주문,81
음료 받으려면 얼마나 기다려야 하나요?,제조시간문의,87
치즈 케이크는 지금 없나요?,주문가능여부문의,90
티라미슈도 주세요,일반주문,81
앞접시도 주실 수 있으신가요?,식기류요구,56
아이스 아메리카노 한잔 얼마인가요?,가격문의,2
따뜻한 아메리카노 한 잔은 얼마인가요?,가격문의,2
그러면 따뜻한 아메리카노 한 잔과 아이스 아메리카노 한 잔 포장해 주세요,일반주문,81
매장 영업 몇 시까지 하나요?,영업시간문의,67
마감 다 하실 때까지 앉아있다 가면 안 되나요?,매장이용문의,26
아이스 아메리카노 두 잔 주세요,일반주문,81
아이스 아메리카노 한 잔에만 시럽 넣어주세요,시럽설탕요구,52
이 카드로 결제해주세요,결제요청,4
와이파이 되나요?,와이파이문의,70
화장실이 어디예요?,화장실위치문의,124
주문한 게 다 안 나왔어요,음식이주문과다른경우,77
커피 말고 다른 음료는 없나요?,메뉴문의,29
추운데 에어컨을 줄여주시겠어요?,냉방조절,17
아아에 샷 추가 부탁드려요,일반주문,81
네 결제는 삼성페이로 할게요,모바일페이결제,35
카페는 몇 시까지 하나요?,영업시간문의,67
아아에 얼음 많이 넣어주세요,얼음량요구,60
아메리카노 기프티콘 사용할 수 있나요?,기프티콘쿠폰멤버십사용문의,11
아메리카노 기프티콘 사용해주세요,기프티콘쿠폰멤버십결제요구,9
기계 바코드 인식이 잘 안되는데요,결제문의,3
네 기프티콘 여기 있어요,기프티콘쿠폰멤버십결제요구,9
오늘의 커피는 뭔가요?,메뉴문의,29
카페모카 주세요,일반주문,81
카드로 할게요,결제요청,4
빨대는 어디 있나요?,물품위치문의,39
샌드위치랑 카페라테 주세요,일반주문,81
네 샌드위치도 데워주실 수 있죠?,조리요구,88
물티슈도 챙겨 주세요,냅킨물티슈요구,15
단체 주문 가능한가요?,단체주문문의,21
아이스 아메리카노 30개 주세요,일반주문,81
라테 20개 주문할게요,일반주문,81
그럼 한 시간 후에 음료 찾으러 오면 될까요?,제조시간문의,87
포인트랑 쿠폰 적립해주세요,쿠폰멤버십적립문의,101
커피와 조각 케이크 세트로 판매하시나요?,메뉴문의,29
세트 종류가 어떤 게 있죠?,메뉴문의,29
아메리카노 티라미슈 세트 가격은 어떻게 되죠?,가격문의,2
아메리카노를 카페모카로 변경 가능한가요?,주문내용변경,91
그러면 아메리카노 티라미슈 세트에 카페모카로 변경해서 주문하겠습니다,일반주문,81
아이스 아메리카노 되나요?,주문가능여부문의,90
얼음량 조절 적게 되나요?,얼음량요구,60
베이글은 얼마인가요?,가격문의,2
머핀은 얼마에요?,가격문의,2
베이글과 머핀 전부 주세요,일반주문,81
지금 빙수 되나요?,주문가능여부문의,90
그럼 아메리카노랑 바닐라 라테 주세요,일반주문,81
기프트카드 포인트 결제되나요?,기프티콘쿠폰멤버십사용문의,11
혹시 기존 카드로 통합 시킬 수도 있나요?,기프티콘쿠폰멤버십사용문의,11
네 합쳐주시고 아이스 아메리카노 한잔 주세요,일반주문,81
먹고 갈 건데 혹시 일회용 컵에 담아주실 수 있을까요?,테이크아웃요구,106
마시다 나갈 거니 일회용 컵에 담아주실 수는 없을까요?,테이크아웃요구,106
아메리카노 하나 주세요,일반주문,81
초코 라테 한잔 주세요,일반주문,81
혹시 테이크 아웃 잔에 받을 수 있나요,테이크아웃요구,106
아메리카노 한 잔 주세요,일반주문,81
여기 카드로 결제해주세요,결제요청,4
아메리카노 두 잔이랑 치즈케이크 한 개 주세요,일반주문,81
아메리카노 하나는 샷 추가해주세요,에스프레소샷개수요구,63
쿠폰 찍어주세요,쿠폰멤버십적립문의,101
현금영수증도 해주시죠?,현금영수증요청,122
주문할게요,일반주문,81
티라미수 케이크도 주세요,일반주문,81
팥빙수 파나요?,주문가능여부문의,90
자몽차는 있나요?,주문가능여부문의,90
그럼 자몽차 한잔 주세요,일반주문,81
저번에 와서 먹은 미숫가루 라테가 오늘은 없네요?,주문가능여부문의,90
그럼 겨울 메뉴로는 뭐가 맛있나요?,메뉴추천요구,32
사이드 메뉴 중엔 맛있는 게 뭔가요?,메뉴추천요구,32
그럼 감귤 라테 2잔이랑 인절미 쏙쏙 붕어빵 2개 주세요,일반주문,81
네 결제는 카드로 할게요,결제요청,4
아메리카노 한잔 주세요,일반주문,81
초코머핀도 하나 추가해주세요,일반주문,81
얼마예요?,가격문의,2
아메리카노 한 잔이랑 바닐라 라테 한 잔 주세요,일반주문,81
여기 쿠폰이요,기프티콘쿠폰멤버십결제요구,9
녹차라테 1잔 주세요,일반주문,81
혹시 휘핑크림 추가되나요?,옵션추가요구,69
네 그럼 휘핑크림 추가해서 주세요,옵션추가요구,69
브레드 종류는 뭐가 있나요?,메뉴문의,29
생크림이 올라가는 건 어떤 건가요?,메뉴문의,29
갈릭 치즈 브레드에 생크림을 올려주실 수는 없나요?,옵션추가요구,69
아이스 바닐라 라테도 한 잔 주세요,일반주문,81
라테 한 잔에 얼마인가요?,가격문의,2
마카롱은 남아있나요?,주문가능여부문의,90
그러면 스콘 하나랑 라테 한 잔 주세요,일반주문,81
혹시 적립 쿠폰으로 커피 계산할 수 있나요?,기프티콘쿠폰멤버십사용문의,11
그러면 커피는 쿠폰으로 스콘은 카드로 계산해주세요,기프티콘쿠폰멤버십결제요구,9
아이스 아메리카노에 얼음 조금 덜 넣어주실 수 있나요?,얼음량요구,60
네 블루베리 스무디 1개 더 추가로 주세요,일반주문,81
여기 있습니다,기프티콘쿠폰멤버십결제요구,9
핫초코 파나요?,주문가능여부문의,90
핫초코 한잔 아메리카노 한잔하면 얼마인가요?,가격문의,2
사이즈업 되나요?,사이즈요구,48
핫초코 한 잔 아메리카노 사이즈업한 잔 하면 얼마인가요?,가격문의,2
레몬티도 파나요?,메뉴문의,29
제일 맛있는 케이크가 뭐예요,메뉴추천요구,32
한 조각에 얼마죠,가격문의,2
그거랑 아메리카노 주세요,일반주문,81
카드로 결제할게요,결제요청,4
저 아메리카노에 샷 추가해서 주세요,일반주문,81
저 카카오페이로 결제할게요,모바일페이결제,35
아 저 이 티라미수도 하나 주세요,일반주문,81
네 두 개 함께 가져다주세요,서빙요구,50
제가 커피를 못 마시는데 음료 좀 추천해주세요,메뉴추천요구,32
주스는 너무 달아서 싫은데 다른 건 없나요,메뉴추천요구,32
그건 달지 않나요?,메뉴문의,29
통신사 할인되죠?,할인문의,116
카드로 결제할게요,결제요청,4
디카페인 음료 주문 가능할까요?,주문가능여부문의,90
그럼 디카페인 라테 한잔해주세요,일반주문,81
멤버십으로 사이즈업해주세요,사이즈요구,48
매장에서 마시려는데 언제까지 영업하시나요?,영업시간문의,67
네 엘지 파이로 계산할게요,모바일페이결제,35
플렛 화이트 아이스도 있나요?,메뉴문의,29
머핀이나 케이크도 있나요?,메뉴문의,29
그럼 초코머핀 하나 주세요,일반주문,81
기프트콘 사용 가능하나요?,기프티콘쿠폰멤버십사용문의,11
바닐라라테 진하게 가능할까요?,메뉴문의,29
아이스인데 얼음 없이 줄 수 있으세요?,얼음량요구,60
쿠폰 10개 다 모았는데 사용 가능할까요?,기프티콘쿠폰멤버십결제요구,9
가격 차감으로는 안 되나요?,기프티콘쿠폰멤버십사용문의,11
조금만 앉아있다가 나갈 건데 일회용 컵에는 안될까요?,테이크아웃요구,106
카페라테 한잔 주세요,일반주문,81
현금으로 할게요,결제요청,4
아메리카노 한 잔 주세요,일반주문,81
이 쿠키는 뭐예요?,메뉴문의,29
이것도 하나 주시는데 얼마에요?,가격문의,2
네 여기 현금영수증도 해주세요,현금영수증요청,122
아이스 아메리카노 하나 따뜻한 자몽치 하나 주세요,일반주문,81
어떤 게 괜찮아요?,메뉴추천요구,32
많이 쓴가요?,메뉴문의,29
그러면 예가체프로 주세요,특정원두요구,110
테이크 아웃으로 해주세요,테이크아웃요구,106
아이스 말차 라테에 에스프레소 샷 하나 추가해서 주세요,일반주문,81
지금 말차 케이크는 품절인 거죠?,주문가능여부문의,90
그럼 말차 라테에 잘 어울리는 케이크 하나 추천해주시겠어요?,메뉴추천요구,32
그럼 추천해주신 치즈 케이크도 같이 주세요,일반주문,81
그린 티 프라푸치노 하나 주세요,일반주문,81
그리고 휘핑크림은 에스프레소 크림으로 올려주세요,옵션추가요구,69
스타벅스 카드로 계산할게요,결제요청,4
네 2만 원 충전해주세요,포인트충전,114
에스프레소 한 잔하고 카페모카 두 잔 주세요,일반주문,81
할인카드 있습니다,할인요청,117
할인율이 높군요,할인문의,116
핫초코에 우유를 더 많이 타서 연하게 만들어주실 수 있나요?,주문가능여부문의,90
얼마인가요?,가격문의,2
아이스로 변경할 경우 추가요금이 있나요?,가격문의,2
그냥 따뜻한 걸로 주시고 따뜻한 아메리카노도 한잔 더 주실 수 있나요?,일반주문,81
밀크티 한 잔 얼마에요?,가격문의,2
사이즈업 되나요?,사이즈요구,48
케이크는 뭐가 제일 맛있어요?,메뉴추천요구,32
초코 케이크 한 조각 주세요,일반주문,81
현금 영수증 해주세요,현금영수증요청,122
카페라테 가격은 얼마인가요?,가격문의,2
멤버십 있는데 포인트 쓸 수 있나요?,기프티콘쿠폰멤버십사용문의,11
포인트 사용하고 적립 동시에 가능한가요?,기프티콘쿠폰멤버십사용문의,11
포인트 사용 없이 적립만 할게요,쿠폰멤버십적립문의,101
멤버십 카드 드리고 현금으로 계산할게요,결제요청,4
아이스 아메리카노 주세요,일반주문,81
지금도 브런치 할인하나요?,할인문의,116
그럼 크로크무슈와 아이스 아메리카노로 할게요,일반주문,81
네 할인돼도 적립은 해주죠?,쿠폰멤버십적립문의,101
현금영수증도 할게요,현금영수증요청,122
민트 초코 프라푸치노 주세요,일반주문,81
민트 시럽도 코가 찡할 만큼 올려주세요,시럽설탕요구,52
적립도 해주세요,쿠폰멤버십적립문의,101
아이스 아메리카노 하나랑 녹차라테 주세요,일반주문,81
나갈 때 테이크아웃 컵으로 옮겨줄 수 있나요?,테이크아웃요구,106
아메리카노 두 잔 마키아토 한잔 주세요,일반주문,81
무료인가요,가격문의,2
추가해주세요,옵션추가요구,69
아메리카노 교환권이 있는데 다른 걸로 바꿀 수 있을까요?,기프티콘쿠폰멤버십메뉴변경문의,10
추가요금은 얼마인가요?,가격문의,2
이 카드로 해주세요,결제요청,4
아이스 아메리카노 1잔이랑 아이스 카페라테 1잔 얼마인가요?,가격문의,2
멤버십 할인되나요?,할인문의,116
기프티콘 있는데 쓸 수 있나요?,기프티콘쿠폰멤버십사용문의,11
여기에서 지하철 타려면 어느 역으로 가야 하나요?,주변시설,93
여기 주차되나요?,주차문의,95
쿠앤크 치노 하나요,일반주문,81
얼마나 기다려야 하나요?,제조시간문의,87
카페인 안 들은 음료는 뭐가 있을까요?,메뉴문의,29
피지와는 어떤 게 있어요?,메뉴문의,29
둘 중에 어떤 게 더 잘 나가요?,메뉴문의,29
자몽 피지와 주세요,일반주문,81
포인트 적립해주세요,쿠폰멤버십적립문의,101
티 종류도 아이스 가능한가요?,주문가능여부문의,90
그럼 캐머마일 아이스로 하나 주세요,일반주문,81
아 포인트 있으면 포인트 사용해주세요,기프티콘쿠폰멤버십결제요구,9
화이트 모카 한 잔 주세요,일반주문,81
아이스 아메리카노 하나랑 카페모카 하나 주세요,일반주문,81
아직 런치세트 할인되나요?,할인문의,116
치킨 파야냐 하나랑 아이스 아메리카노 하나 해서 주세요,일반주문,81
아메리카노 사이즈 업도 가능한가요?,사이즈요구,48
사이즈업해서 주세요,사이즈요구,48
삼성페이 되나요?,모바일페이결제,35
리저브는 처음인데요,메뉴문의,29
네 평소에 아메리카노를 주로 마시는데요,메뉴추천요구,32
어떤 맛인가요,메뉴문의,29
전 단것은 별로인데요,메뉴문의,29
그럼 커피와 어우러지는 케이크도 추천해 주세요,메뉴추천요구,32
카페라테 주세요,일반주문,81
커피는 텀블러에 담아주세요,텀블러사용,103
네 카드 여기요,결제요청,4
아메리카노 1잔 주세요,일반주문,81
바닐라라테를 두유로 바꿔서 만들어주세요,우유변경,71
2잔 주문하면 얼마죠?,가격문의,2
모카 라테 1잔 주세요,일반주문,81
치즈케이크 하나 추가해주세요,일반주문,81
아메리카노 두 잔 주문할게요,일반주문,81
치즈 케이크 하나같이 주문할게요,일반주문,81
저희 그냥 먹고 가겠습니다,주문내용변경,91
키오스크에서 현금 결제가 안 되네요,결제문의,3
아이스 아메리카노 한 잔이랑 스콘 하나 할게요,일반주문,81
도장 찍어주세요,쿠폰멤버십적립문의,101
여기 카페인 안 들어간 게 있나요?,메뉴문의,29
유자차 차갑게 주문 가능한가요?,주문가능여부문의,90
그럼 루이보스 차갑게 하나랑 유자차 하나 할게요,일반주문,81
네 여기 KT 더블할인되죠?,할인문의,116
네 여기 카드 있습니다,결제요청,4
고구마라테 아이스도 되나요?,메뉴문의,29
카페 와이파이 비밀번호 알 수 있을까요?,와이파이문의,70
쿠폰 몇 개를 모으면 무료로 아이스커피를 마실 수 있어요?,쿠폰멤버십적립문의,101
포인트 적립되나요?,쿠폰멤버십적립문의,101
카페 몇 시까지 해요?,영업시간문의,67
오픈이 몇 시인가요?,영업시간문의,67
캐러멜 프라푸치노주세요,일반주문,81
휘핑크림에 캐러멜 드리블이랑 통 잡아 칩 깔아주세요,옵션추가요구,69
포인트 적립할게요,쿠폰멤버십적립문의,101
아이스 아메리카노랑 밀크티 차가운 거랑 치즈케이크 하나 주세요,일반주문,81
티라미수는 있나요?,주문가능여부문의,90
그럼 그걸로 할게요,일반주문,81
네 현금영수증 해주세요,현금영수증요청,122
아메리카노 아이스로 하나요,일반주문,81
쿠키도 주세요,일반주문,81
아메리카노 하나요,일반주문,81
샷 추가해주세요,에스프레소샷개수요구,63
카드 결제할게요,결제요청,4
맨날 먹던 걸로 한잔 줘요,늘먹던음료요구,18
나 여기 매일 왔는데 나 몰라요?,단골손님임을주장,19
아메리카노 한잔 줘요,일반주문,81
이 날씨에 차가운 거 먹어요?,음료온도요구,75
얼마에요?,가격문의,2
아메리카노 2잔 주세요,일반주문,81
여기 쿠폰 도장 찍어주세요,쿠폰멤버십적립문의,101
그리고 미지근한 물도 1잔만 부탁드려요,뜨거운차가운물요구,23
아이스 아메리카노 두 잔이랑 말차 케이크 한 개 주세요,일반주문,81
얼마 안 있고 갈 건데 테이크 아웃 잔에 주시면 안 될까요?,테이크아웃요구,106
유리잔에 주세요,머그컵요구,27
아메리카노 샷 추가로 주세요,일반주문,81
네 여기 텀블러에 담아주세요,텀블러사용,103
시럽은 어디 있나요?,물품위치문의,39
크랜베리 스콘 두 개도 포장해주세요,일반주문,81
총 금액 알려주세요,가격문의,2
아이스 아메리카노랑 샌드위치 주세요,일반주문,81
그렇게 해주세요,일반주문,81
음료는 텀블러에 담아주세요,텀블러사용,103
위에 자리 있나요?,자리여부문의,84
아이스 바닐라라테 두 잔 주세요,일반주문,81
카드 여기 있습니다,결제요청,4
여기 처음 와서 그런데 시그니처 음료나 메뉴가 있나요?,메뉴추천요구,32
데이바이데이가 뭐예요?,메뉴문의,29
오늘 쓰시는 원두는 뭐죠?,메뉴문의,29
어떤 향이 나나요?,메뉴문의,29
그럼 그걸로 한잔 주시겠어요,일반주문,81
오늘의 커피는 무엇이죠?,메뉴문의,29
미지근하게 되나요?,음료온도요구,75
머그잔 할인 가능한가요?,할인문의,116
남은 자리는 있나요?,자리여부문의,84
쿠폰 찍어주세요,쿠폰멤버십적립문의,101
핫 아메리카노 두 잔 주세요,일반주문,81
치즈 케이크도 하나 주세요,일반주문,81
여기 멤버십 할인도 해주세요,할인요청,117
아메리카노 한 잔 주세요,일반주문,81
네 먹고 갈 건데 혹시 테이크아웃 잔에 주시면 안 될까요?,테이크아웃요구,106
그냥 머그컵에 주세요,머그컵요구,27
여기 카드 드릴게요,결제요청,4
오늘 영업 종료시간이 몇 시인가요?,영업시간문의,67
와이파이 되나요?,와이파이문의,70
라테 2잔이랑 치즈케이크 1조각 주세요,일반주문,81
아이스 아메리카노 주세요,일반주문,81
케이크는 어떤 게 있나요?,메뉴문의,29
아이스 아메리카노랑 블루베리 케이크 세트로 주세요,일반주문,81
테이크아웃 할게요,테이크아웃요구,106
녹차라테 한 잔에 얼마인가요?,가격문의,2
아이스 녹차라테로 가능한가요?,주문가능여부문의,90
마카롱은 종류가 몇 개인가요?,메뉴문의,29
아이스 녹차라테랑 마카롱 종류별로 주세요,일반주문,81
테이크아웃 해 갈게요,테이크아웃요구,106
모카 프 라프 치노 한잔 얼마에요?,가격문의,2
혹시 안에 자바칩 추가 가능한가요?,주문가능여부문의,90
삼성페이 결제되나요?,모바일페이결제,35
아메리카노 숏 사이즈 주세요,일반주문,81
엘지 VIP 할인받을게요,할인요청,117
포인트 적립카드 만들 수 있을까요?,쿠폰멤버십적립문의,101
적립해서 머그잔도 받을 수 있나요?,쿠폰멤버십적립문의,101
