SENTENCE,MAIN,N
아이스 아메리카노 하나 주시겠어요?,일반주문,81
사이즈 제일 작은 게 뭐죠?,사이즈문의,47
그걸로 주시고 결제는 현금으로 해주시고 현금영수증 되죠?,현금영수증요청,122
어디에 눌러야 되죠?,현금영수증요청,122
캐러멜 프라푸치노 얼마예요?,가격문의,2
샌드위치는 뭐가 제일 맛있나요?,메뉴추천요구,32
튜너 샌드위치도 2개 주세요,일반주문,81
마카롱 네 개 포함해서 같이 주세요,일반주문,81
이 카드로 계산하고 영수증 주세요,영수증요청,66
아이스 아메리카노 주세요,일반주문,81
아니요 사이즈 업 부탁드려요,사이즈요구,48
통신사 할인받을게요,할인요청,117
치즈 조각 케이크 있나요?,메뉴문의,29
얼마인가요?,가격문의,2
아이스 아메리카노 가격이 얼마인가요?,가격문의,2
샷 추가하려면 얼마를 내야 하나요?,가격문의,2
그럼 아이스 아메리카노 샷 추가해서 주세요,일반주문,81
캐러멜마키아토 한 잔이랑 에스프레소 한 잔이요,일반주문,81
현금 계산이요,결제요청,4
지금 커피 주문 가능한가요?,주문가능여부문의,90
아메리카노 한 잔이요,일반주문,81
샷 하나 추가에 얼마에요?,가격문의,2
투 샷으로 해주세요,에스프레소샷개수요구,63
아이스 아메리카노 한 잔이요,일반주문,81
샷은 몇 개 들어가나요?,메뉴문의,29
톨 사이즈는 샷이 몇 개 들어가나요?,메뉴문의,29
그럼 톨로 주세요,사이즈요구,48
아메리카노 한 잔 얼마에요?,가격문의,2
사이즈업 되나요?,사이즈요구,48
케이크는 뭐가 제일 맛있나요?,메뉴추천요구,32
당근 케이크 한 조각 주세요,일반주문,81
현금 영수증 해주세요,현금영수증요청,122
아이스 라테 하나 주세요,일반주문,81
음료 단체 주문 가능한가요?,단체주문문의,21
아이스 아메리카노 30잔 해주세요,일반주문,81
CJ one 포인트 번호로 적립할게요,쿠폰멤버십적립문의,101
혹시 포인트 얼마나 남았나요?,쿠폰멤버십적립문의,101
아이스 라테 한 잔이,일반주문,81
케이크 뭐가 잘 나가나요?,메뉴추천요구,32
치즈케이크도 주세요,일반주문,81
프리쿠폰 사용 가능한가요?,기프티콘쿠폰멤버십사용문의,11
프리쿠폰으로 어떤 음료를 주문할 수 있어요?,기프티콘쿠폰멤버십사용문의,11
사이즈는 어떤 걸로 주시는 거예요?,사이즈문의,47
라지 사이즈는 추가 금액이 있나요?,가격문의,2
그럼 따뜻한 라테 라지로 한 잔이요,일반주문,81
바닐라 라테 얼마예요?,가격문의,2
우유 종류 선택 가능한가요?,우유변경,71
거품 적게 주실 수 있을까요?,메뉴문의,29
휘핑 추가해주세요,옵션추가요구,69
캐리어에 담아주세요,테이크아웃요구,106
아이스 아메리카노 하나 주세요,일반주문,81
샷은 몇 개 들어가나요?,메뉴문의,29
하나만 넣어주세요,에스프레소샷개수요구,63
현금되죠?,결제요청,4
아메리카노 두 잔 주세요,일반주문,81
네 그리고 치즈케이크 한 조각 주세요,일반주문,81
화장실은 어디죠?,화장실위치문의,124
화장지는 안에 있죠?,화장실휴지비치문의,126
녹차라테 있나요?,메뉴문의,29
네 아이스로 하나 주세요,일반주문,81
삼성페이 되죠?,모바일페이결제,35
카페라테 얼마에요?,가격문의,2
바닐라 시럽 추가되나요?,시럽설탕요구,52
샌드위치랑 음료 세트도 있나요?,메뉴문의,29
그럼 샌드위치랑 카페라테 주세요,일반주문,81
딸기 스무디 한 잔 주세요,일반주문,81
그럼 녹차 프라푸치노는 되나요?,주문가능여부문의,90
초코케이크 포장되나요?,테이크아웃문의,105
그럼 초코케이크랑 치즈 케이크 포장해주세요,일반주문,81
아메리카노 한 잔에 얼마인가요?,가격문의,2
이 음료는 새로 나온 음료인가요?,신메뉴문의,58
녹차라테는 얼마인가요?,가격문의,2
휘핑크림이 올라가나요?,메뉴문의,29
그럼 아이스 한 잔으로 테이크아웃 해주시겠어요?,일반주문,81
주문할게요,주문가능여부문의,90
아메리카노 레귤러 사이즈 하나랑요 티라미수 하나요,일반주문,81
주차했는데 주차 증 발급은 어떻게 받나요?,주차권주차도장요구,94
일회용 컵에 주세요,테이크아웃요구,106
카페라테 한 잔 주세요,일반주문,81
네 기프티콘 되나요?,기프티콘쿠폰멤버십사용문의,11
현금영수증 되나요,현금영수증요청,122
아메리카노 한 잔은 얼마인가요?,가격문의,2
아메리카노 언제 나오나요?,제조시간문의,87
화장실은 어디 있나요?,화장실위치문의,124
오렌지 주스는 있나요?,메뉴문의,29
아메리카노에 샷 추가해주세요,에스프레소샷개수요구,63
아이스 바닐라 라테 얼마에요?,가격문의,2
얼마나 기다려야 하나요?,제조시간문의,87
먹고 갈 테니 머그잔에 주세요,머그컵요구,27
카드 결제할게요,결제요청,4
포인트 적립해주세요,쿠폰멤버십적립문의,101
아메리카노 한 잔 주세요,일반주문,81
얼마 추가되죠?,가격문의,2
시원한 걸로 해주세요,음료온도요구,75
지금 딸기 스무디 2잔 주문 가능한가요?,주문가능여부문의,90
1잔도 안 되나요?,주문가능여부문의,90
그럼 딸기 에이드는 가능한가요?,주문가능여부문의,90
스무디 종류 중에선 지금 어떤 것 주문되나요?,주문가능여부문의,90
그러면 딸기 에이드 1잔이랑 블루베리 스무디 1잔 주세요,일반주문,81
휘핑크림이 올라가는 커피가 뭐가 있죠?,메뉴문의,29
그럼 카페모카로 한 잔 휘핑크림 가득 올려주시고 혹시 커피에 샷 추가되나요?,에스프레소샷개수요구,63
그러면 샷 추가 부탁드리고 앞에 진열된 쿠키는 얼마예요?,가격문의,2
쿠키도 같이 하나 부탁드릴게요,일반주문,81
네 그리고 제로 페이 가능한가요?,모바일페이결제,35
저 아메리카노 아직 안 나오나요?,제조시간문의,87
얼마나 더 기다려야 합니까?,제조시간문의,87
그럼 옥수수빵이랑 카푸치노 한 잔 구매할게요,일반주문,81
만원 현금 되나요?,결제요청,4
그럼 혹시 3천 원짜리 텀블러 있나요?,MD제품문의,1
아메리카노 한 잔 주세요,일반주문,81
일회용 컵으로 주시는 건가요?,테이크아웃문의,105
그럼 머그컵에 주세요,머그컵요구,27
설탕은 어디에 있나요?,시럽설탕요구,52
캐러멜마키아토 하나하고 컵케이크 한 조각 주세요,일반주문,81
KT 멤버십 할인되나요?,할인문의,116
카드하고 멤버십 카드입니다,할인요청,117
아이스 아메리카노 한 잔 주세요,일반주문,81
혹시 샷 추가 가능한가요?,에스프레소샷개수요구,63
샷 추가는 얼마인가요?,가격문의,2
왜 무료예요?,가격문의,2
샷 추가 무료 제공은 언제까지 해요?,기타문의,7
커피 주문했는데 생각보다 오래 걸리네요,제조시간문의,87
많이 바빠 보이시네요 왜 그렇게 바쁘시죠?,기타문의,7
그러면 제 커피는 언제 나오는지 알 수 있을까요?,제조시간문의,87
저 말고도 대기인원 있나요?,기타문의,7
그렇게까지 기다릴 수가 없어서 주문취소할게요 주문취소 가능한가요?,주문취소,92
카페인이 들어가지 않은 음료는 무엇이 있나요?,메뉴문의,29
캐머마일 따뜻한 건 얼마인가요?,가격문의,2
오미자 스파클링 음료는 얼마인가요?,가격문의,2
오미자 스파클링 음료는 주문하면 얼마나 걸릴까요?,제조시간문의,87
테이크아웃 하지 않고 먹고 가려면 어떻게 해야 하나요?,매장이용문의,26
아이스 아메리카노 한 잔 주세요,일반주문,81
라지 사이즈는 얼마에요?,가격문의,2
카드로 결제할게요,결제요청,4
그린 티 프라푸치노 한잔 주세요,일반주문,81
혹시 자바칩도 추가 가능한가요?,옵션추가요구,69
자바칩 프라푸치노 얼마에요?,가격문의,2
사이즈업하면 얼마에요?,가격문의,2
치즈 케이크 있나요?,메뉴문의,29
그럼 케이크도 한 조각 주세요,일반주문,81
네 계산해주세요,결제요청,4
창가 쪽 자리 있나요?,자리여부문의,84
아메리카노 따듯한 걸로 두 잔 주세요,일반주문,81
오실 때 얼음 넣은 물 한 컵 부탁드려요,뜨거운차가운물요구,23
시럽이나 설탕 있나요,시럽설탕요구,52
아메리카노 리필되나요,리필문의,24
초코 바나나 스무디 되나요?,주문가능여부문의,90
얼마인가요?,가격문의,2
초코 바나나 스무디 하나 주세요,일반주문,81
여기 아메리카노 기프티콘 사용 가능한가요?,기프티콘쿠폰멤버십사용문의,11
아메리카노 한잔하고 치즈 케이크 하나 주시겠어요?,일반주문,81
그러면 케이크 뭐 남았나요?,메뉴문의,29
티라미슈 케이크로 주세요,일반주문,81
케이크는 카드로 결제 부탁드릴게요,결제요청,4
음료 사이즈는 뭐 뭐 있나요?,사이즈문의,47
그럼 아이스 아메리카노 라지 사이즈 샷 추가해주세요,일반주문,81
마시고 갈게요,머그컵요구,27
마시다가 나가야 하면 어떻게 하나요?,테이크아웃문의,105
와이파이 비밀번호는 어디에 있어요?,와이파이문의,70
커피 원두 종류가 어떻게 되나요?,메뉴문의,29
우유 종류도 고를 수 있을까요?,메뉴문의,29
그럼 아메리카노 주세요,일반주문,81
아이스 아메리카노 바로 되나요?,주문가능여부문의,90
얼음은 갈아서 주세요,제조방법,86
쿠폰도 찍어주세요,쿠폰멤버십적립문의,101
빨대는 안 주셔도 돼요,빨대,45
아이스 아메리카노 한잔 얼마예요?,가격문의,2
샷 추가되나요?,에스프레소샷개수요구,63
요즘 제일 잘나가는 케이크는 뭐예요?,메뉴추천요구,32
그럼 치즈케이크 하나 주세요,일반주문,81
포인트 적립되나요?,쿠폰멤버십적립문의,101
아이스 카페모카 하나 주세요,일반주문,81
바닐라라테 있나요?,메뉴문의,29
그럼 비슷한 맛의 커피가 있나요?,메뉴추천요구,32
가격은 얼마인가요?,가격문의,2
아이스 딜라이트 라테로 한 잔 주세요,일반주문,81
현금으로 계산 가능한가요?,결제요청,4
아이스 아메리카노 한 잔 주세요,일반주문,81
리필 가능한가요?,리필문의,24
제 텀블러에 담아주세요,텀블러사용,103
영수증은 버려주세요,영수증버리기,65
우유를 두유로 변경 가능한가요?,우유변경,71
카페라테에 두유로 변경해서 주세요,우유변경,71
현금영수증 해주세요,현금영수증요청,122
이 매장에서 블랙 슈거 버블티를 파나요?,메뉴문의,29
그럼 아이스초코에 샷 추가되나요?,에스프레소샷개수요구,63
포인트 있는데 포인트로 결제되나요?,기프티콘쿠폰멤버십사용문의,11
포인트로 결제한 것도 적립이 되나요?,쿠폰멤버십적립문의,101
준비되면 이 번호로 문자를 주실 수 있나요?,기타문의,7
디카페인 커피 있나요?,메뉴문의,29
그럼 라테를 디카페인으로 해주세요,일반주문,81
티라미슈 한 조각엔 얼마예요?,가격문의,2
티라미슈도 하나같이 주세요,일반주문,81
아이스크림 주문 가능한가요?,주문가능여부문의,90
디카페인 커피 주문 가능한가요?,주문가능여부문의,90
카페모카 위에 휘핑크림 빼고 주세요,일반주문,81
조각 케이크 말고 홀 케이크도 있나요?,메뉴문의,29
커피는 텀블러에 담아주세요,텀블러사용,103
커피 테이크아웃 가능할까요?,테이크아웃문의,105
혹시 디카페인도 있나요?,메뉴문의,29
아메리카노 2잔 카페라테 2잔 디카페인으로 테이크아웃해주세요,일반주문,81
네 티슈도 넉넉하게 챙겨주세요,냅킨물티슈요구,15
주문해도 될까요?,주문가능여부문의,90
초코 라테 1개 아메리카노 5잔이요,일반주문,81
아니요 계산은 현금으로 할게요,결제요청,4
포장인데 앉아있어도 되죠?,매장이용문의,26
카페라테 하나 주세요,일반주문,81
이 모바일 쿠폰 사용 가능한가요?,기프티콘쿠폰멤버십사용문의,11
안 되면 카드 결제로 할게요,결제요청,4
현금영수증도 해주세요,현금영수증요청,122
아메리카노 얼마에요?,가격문의,2
포인트 적립 가능해요?,쿠폰멤버십적립문의,101
할인되는 카드 있나요?,할인문의,116
아가 먹을 음료도 있나요?,메뉴추천요구,32
포장 가능하죠?,테이크아웃문의,105
여기 쿠폰 사용 가능한가요?,기프티콘쿠폰멤버십사용문의,11
이게 아메리카노 무료 쿠폰인데 다른 음료로 변경되나요?,기프티콘쿠폰멤버십메뉴변경문의,10
그러면 슈크림 라테로 주세요,일반주문,81
쿠폰은 여기 있습니다,기프티콘쿠폰멤버실결제요구,8
여기 몇 시까지 영업하나요?,영업시간문의,67
아이스 카페모카 하나 주세요,일반주문,81
아이스는 더 비싼가요?,가격문의,2
아이스 카페라테 한 잔에 얼마인가요?,가격문의,2
샷 추가하는데 추가 가격이 있나요?,가격문의,2
시럽 추가 혹시 가능한가요?,시럽설탕요구,52
바닐라 시럽 추가되나요?,시럽설탕요구,52
바닐라 라테 아이스로 한 잔 주세요,일반주문,81
아메리카노 한 잔 주세요,일반주문,81
여기요,결제요청,4
아이스 아메리카노 한잔 주세요,일반주문,81
어떤 종류 사이즈가 있나요?,사이즈문의,47
라지로 주세요,사이즈요구,48
카드 결제할게요,결제요청,4
지금 주문 가능한가요?,주문가능여부문의,90
디카페인 콜드브루 있나요?,메뉴문의,29
다른 디카페인 메뉴 좀  추천해주세요,메뉴추천요구,32
그럼 카페라테 디카페인으로 한 잔 주세요,일반주문,81
카카오페이 가능하죠?,모바일페이결제,35
아이스 아메리카노 2잔에 얼마인가요?,가격문의,2
초코케이크는요?,가격문의,2
그러면 아이스 아메리카노 2잔과 초코케이크 1개 네이버 파이로 결제 가능한가요?,모바일페이결제,35
네 그러면 결제해주세요,모바일페이결제,35
돌체 라테 한 잔에 얼마에요?,가격문의,2
디카페인으로 가능한가요?,메뉴문의,29
그럼 아이스로 한잔 주세요,음료온도요구,75
제 텀블러에 담아주시면 할인되죠?,텀블러할인문의,104
네 제 텀블러에 담아주시고 결제하고 현금영수증 처리할게요,현금영수증요청,122
주문할게요,주문가능여부문의,90
아이스 아메카노 한잔 주세요~,일반주문,81
베이글도 하나 주세요,일반주문,81
빨리 부탁드려요,메뉴가나오는것을재촉하는상황,28
아이스 아메리카노 2잔 주세요,일반주문,81
혹시 삼성 파이로 결제 가능해요?,모바일페이결제,35
그럼 이걸로 결제해 주세요,모바일페이결제,35
아 혹시 포인트 적립돼요?,쿠폰멤버십적립문의,101
얼마나 쌓였어요?,쿠폰멤버십적립문의,101
옆 가게에서 국수 안 먹으면 할인 안되죠?,할인문의,116
케이크 같은 것도 있어요?,메뉴문의,29
저 음료는 커피 들어있나요?,메뉴문의,29
이건 보리찰떡인가요?,메뉴문의,29
보리찰떡 하나 하고 아메리카노 한 잔 주세요,일반주문,81
시나몬 조금 뿌려주세요,옵션추가요구,69
남은 거 좀 싸줄 수 있어요?,테이크아웃문의,105
네 작은 컵에 담아주세요,테이크아웃요구,106
빵은 여기서 만든 거에요?,메뉴문의,29
초코라떼 있어요?,주문가능여부문의,90
쌀라떼는 뭐에요?,메뉴문의,29
곡물라떼 사진은 어디있어요?,메뉴판요구,34
곡물라떼 따뜻해요?,메뉴문의,29
곡물라떼 얼만데요?,가격문의,2
티바나는 뭐에요?,메뉴문의,29
메뉴판 두 번째 메뉴는?,메뉴문의,29
블루베리 머핀하고 플래시 구콘 주세요,일반주문,81
네 따뜻하게 해주실 수 있나요?,음료온도요구,75
카드는 기계에 꽂는게 맞나요?,결제문의,3
쉬는 날이 없어요?,휴일문의,127
주말에는 자리가 없죠?,자리여부문의,84
원두를 좀 많이 태우나요?,메뉴문의,29
모든 메뉴를 강하게 로스팅해요?,메뉴문의,29
행사 같은 건 안 하나요?,기타문의,7
회원카드는 얼마에 사용 가능한가요?,쿠폰멤버십적립문의,101
회원카드는 충전해서 사용하는거에요?,쿠폰멤버십적립문의,101
회원비는 있나요?,쿠폰멤버십적립문의,101
회원카드를 많이 쓰면 혜택이 있나요?,쿠폰멤버십적립문의,101
테이크아웃 해주세요,테이크아웃요구,106
커피 종류 테이크아웃하면 더 싸요?,가격문의,2
카라멜 마끼아또는 뭐에요?,메뉴문의,29
카라멜 소스를 위에 올려주나요?,메뉴문의,29
카라멜 마끼아또 엄청 달겠네요?,메뉴문의,29
핑크 솔트 비엔나는 소금이 들어갔다는 거에요?,메뉴문의,29
핑크 솔트비엔나에 우유도 들어가요?,메뉴문의,29
카라멜 마끼아또 포장 해주실래요?,테이크아웃문의,105
카라멜 마끼아또 따듯하게 해도 되나요?,음료온도요구,75
스몰사이즈로 우유가 안 들어간게 아메리치노인가요?,메뉴문의,29
아메리치노가 무슨 말이에요?,메뉴문의,29
스몰보다 더 작은 사이즈는 없나요?,사이즈문의,47
유자차 따뜻하게 스몰사이즈로 마시고 갈게요,일반주문,81
할인이랑 적립은 어떤 카드가 되죠?,할인문의,116
통신사 할인은 안되나봐요?,할인문의,116
그냥 결제해주세요,결제요청,4
사장님 여기 찬물 조금만 떠주세요,뜨거운차가운물요구,23
판매용 더치커피는 없어요?,더치커피티백판매문의,22
카페 용품은 이게 다에요?,MD제품문의,1
몇 시까지 해요?,영업시간문의,67
샤케라또가 뭐에요?,메뉴문의,29
샤케라또는 아이스네요?,메뉴문의,29
아포가토는?,메뉴문의,29
아메리카노 주세요,일반주문,81
마시던거 싸주실 수 있어요?,테이크아웃문의,105
형광커피가 뭐예요?,메뉴문의,29
형광커피는 아이스네요?,메뉴문의,29
칵테일도 있어요?,메뉴문의,29
로스팅은 얼마나 해요?,메뉴문의,29
적립도 되나보네요?,쿠폰멤버십적립문의,101
여기 체인점이에요?,계열사문의,5
아메리카노 주세요,일반주문,81
네 테이크아웃으로 주세요,테이크아웃요구,106
영수증 주세요,영수증요청,66
헤이즐넛도 시럽이에요?,메뉴문의,29
음료에 카라멜 시럽을 넣기도 해요?,메뉴문의,29
카라멜 시럽 넣어주실 수 있어요?,시럽설탕요구,52
테이크아웃은 더 싼가요?,가격문의,2
아메리카노 뜨거운 걸로 하나 주세요,일반주문,81
더치커피도 있어요?,더치커피티백판매문의,22
텀블러 가져오면 할인해주시나요?,텀블러할인문의,104
카카오페이도 돼요?,모바일페이결제,35
삼성페이는 되고요?,모바일페이결제,35
그냥 결제해주세요,결제요청,4
여기 샷이 몇 개에요?,메뉴문의,29
네 테이크아웃으로 해주세요,테이크아웃요구,106
저는 한 샷 반 정도가 좋은 거 같아요,에스프레소샷개수요구,63
이게 몇 미리죠?,사이즈문의,47
카페 생긴 지 얼마나 됐나요?,시설문의,54
원두는 로스팅 된 거 사 오시나요?,메뉴문의,29
신세계 포인트 사용이 되어있는데 신세계랑 관련이 있어요?,계열사문의,5
아메리카노 제일 작은 사이즈가 뭐에요?,사이즈문의,47
아이스 아메리카노 숏사이즈로 돼요?,사이즈문의,47
톨 사이즈로 아이스 아메리카노 하나 주세요,일반주문,81
오늘의 커피는 뭐에요?,메뉴문의,29
라떼 작은 거 하나 주세요,일반주문,81
여기 샌드위치 있나요?,메뉴문의,29
샌드위치 데워주기도 하나요?,조리요구,88
신세계 상품권으로도 결제 되나요?,결제요청,4
일반영수증 하나 주세요,영수증요청,66
라떼에 시럽 한 번만 넣어주세요,시럽설탕요구,52
자리는 아무 데나 앉으면 돼요?,자리여부문의,84
허니 바게트빵 이거는 뭐에요?,메뉴문의,29
데워 주는 거죠?,조리요구,88
카푸치노 와플도 있는데 이건 커피 맛이 나나 봐요?,메뉴문의,29
밖에 프라이팬은 뭐예요?,메뉴문의,29
새로운 게 먹고 싶은데 카모마일은 차 종류 맞나요?,메뉴문의,29
아이스 아메리카노 한 잔 주세요 ,일반주문,81
카페 비엔나는 달아요?,메뉴문의,29
따뜻한 아메리카노 위에 휘핑이 올라가요?,메뉴문의,29
카페 비엔나 한 잔 주세요,일반주문,81
쿠키슈는 안에 뭐가 들어있는 거예요?,메뉴문의,29
밀크티 라떼 따뜻한 음료라고 했죠?,메뉴문의,29
밀크티 라떼랑 카페라떼랑 뭐가 달라요?,메뉴문의,29
사진에 있는 게 밀크티 라떼죠?,메뉴문의,29
영수증 주시면 안 될까요?,영수증요청,66
햄 치즈 크로와상 데워 주실 수 있나요?,조리요구,88
아니요 여기서 먹으려고 하는데요,매장이용문의,26
아이스 아메리카노 사이즈업 해주실 수 있나요?,사이즈요구,48
혹시 여기 주차했는데 뭐 되나요?,주차문의,95
여기 물은 어디 있어요?,물품위치문의,39
혹시 여기 작은 컵 있나요?,컵요구,99
물티슈랑 냅킨 두 개 줄 수 있어요?,냅킨물티슈요구,15
음료 리필은 돼요?,리필문의,24
나중에 오면 리필 할 수 있나요?,리필문의,24
주문은 카운터에서 하면 돼요?,주문가능여부문의,90
제가 해피머니에서 요기요 아이스 아메리카노 선물 받았는데 사용가능한가요?,기프티콘쿠폰멤버십사용문의,11
네 결제해 주세요,결제요청,4
아뇨 사이즈업은 천이백원을 더 내야하나요?,사이즈요구,48
커피 꿀복숭아 망고는 뭐예요?,메뉴문의,29
카페라떼 따뜻한 거 작은 사이즈로 주세요,일반주문,81
적립은 번호 찍을게요,쿠폰멤버십적립문의,101
니트로커피가 뭐예요?,메뉴문의,29
와플은 하는데 시간이 좀 걸려요?,제조시간문의,87
번에 치즈가 들었어요?,메뉴문의,29
번은 따뜻하게 데워주는 거죠?,조리요구,88
오리지널이 천구백원 맞죠?,가격문의,2
커피 가루인데 카페라떼로 되어있는 거 있나요?,더치커피티백판매문의,22
텀블러 같은 거 팔아요?,MD제품문의,1
커피 남은거 종이컵에 담아가도 되죠?,테이크아웃문의,105
메뉴판 어디 있어요?,메뉴판문의,33
딸기라떼에는 뭐가 들어있어요?,메뉴문의,29
콜드브루 아인슈페너는 뭔데요?,메뉴문의,29
시원한 음료 종류는 어디 있어요?,메뉴문의,29
아이스티도 시원하죠?,메뉴문의,29
아이스티 한 잔만 주세요,일반주문,81
주차장은 가게 맞은편 맞나요?,주차문의,95
카카오페이 결제 돼요?,모바일페이결제,35
나중에 친구들하고 모임 할 예정인데 애완견 데리고 와도 돼요?,애완견출입문의,59
콜드브루 파는 거에요?,메뉴문의,29
물에 타 먹으면 되는 거죠?,메뉴문의,29
고소한 원두 한 병 주세요,일반주문,81
샷 한 번만 넣으면 되나요?,메뉴문의,29
내가 라떼를 좋아하는데 어떤 원두가 괜찮을까요?,원두인스턴트커피로스팅문의,73
아무래도 향이 더 진할 텐데 잘 어울릴까요?,원두인스턴트커피로스팅문의,73
로얄 밀크티는 뭐에요?,메뉴문의,29
커피가 들어간 거에요?,메뉴문의,29
베리민트는요?,메뉴문의,29
맛은 똑같은 거에요?,메뉴문의,29
아트라떼는 솔티치즈랑 다르게 커피가 들어가는 건가요?,메뉴문의,29
솔티치즈 카페라떼 하나만 주세요,일반주문,81
주차 잠깐 해도 돼요?,주차문의,95
그럼 세울 데는 없어요?,주차문의,95
주차 단속은 안하려나?,주차문의,95
많이 안 달죠?,메뉴문의,29
커피 말고는 뭐 있어요?,메뉴문의,29
어떤 게 잘 나가요?,메뉴추천요구,32
망고는 뭐에요?,메뉴문의,29
블루베리 주스 잘 나가요?,메뉴문의,29
블루베리 주스 한 잔 주세요,일반주문,81
영수증 하나만 주세요,영수증요청,66
곡물 라떼는 뭐 들어가요?,메뉴문의,29
블루베리 주스에는 시럽 들어가요?,메뉴문의,29
시럽 조금만 넣어주세요,시럽설탕요구,52
사장님 냉동 블루베리에 시럽만 넣었죠?,메뉴문의,29
오늘은 몇 시까지 해요?,영업시간문의,67
돌체라떼인가 연유 들어가는거 있어요?,메뉴문의,29
연유 말고 또 뭐 들어가요?,메뉴문의,29
아메리카노 하나 따뜻한 걸로 주세요,일반주문,81
아메리카노 많이 뜨거워요?,메뉴문의,29
주차는 가게 앞에 하면 돼요?,주차문의,95
은색 텀블러 얼마에요?,가격문의,2
사장님 커피 메뉴판 어딨어요?,메뉴판문의,33
사장님 허니 브래드는 직접 만드신거에요?,메뉴문의,29
수제와플이랑 토스트랑 케이크 중에 어떤 게 잘 나가요?,메뉴추천요구,32
수제와플 하나 주세요,일반주문,81
네 사장님 차는 어디 세우고 들어오면 돼요?,주차문의,95
사장님 더치커피는 이 큰병에 만삼천 원이에요?,가격문의,2
핸드드립이랑 콜드브루는 뭐가 달라요?,메뉴문의,29
핸드드립커피 주세요,일반주문,81
비 따뜻한거 한잔이랑 콜드브루로 주세요,일반주문,81
콜드브루는 따뜻한 거에요?,메뉴문의,29
여기 톰과 제리 치즈 모양 생긴게 치즈 케이크인가요?,메뉴문의,29
여기는 주차는 어디다 해요?,주차문의,95
여기 생긴 지 얼마나 됐어요?,시설문의,54
금방 만든 거 있어요?,메뉴문의,29
고로케 얼마씩 해요?,가격문의,2
고로케 안에 뭐가 들었어요?,메뉴문의,29
팥 도너츠도 이천 원이에요?,가격문의,2
단팥 도너츠 하나하고 고로케 하나 주세요,일반주문,81
베이커리하고 카페하고 같이 하시죠?,시설문의,54
그 빵은 뭐에요?,메뉴문의,29
그 빵은 얼마에요?,가격문의,2
이 빵은 뭐에요?,메뉴문의,29
이빵은 얼마에요?,가격문의,2
우리 고로케 한 개 더 주세요,일반주문,81
영수증 하나만 주세요,영수증요청,66
젤라또 통에다 넣어주세요,테이크아웃요구,106
네 어떤 맛이 잘 나가나요?,메뉴추천요구,32
그렇게 네 가지 넣어주세요,일반주문,81
예 영수증 좀 주세요,영수증요청,66
여기는 주차 할 데는 없죠?,주차문의,95
머랭쿠키도 직접 만드신 거에요?,메뉴문의,29
저건 삼천오백 원 맞죠?,가격문의,2
케이크 종류 파시는데 커피도 파시는 건가요?,메뉴문의,29
몰디브라떼는 뭐에요?,메뉴문의,29
여기 오늘의 커피라고 있다고 하던데 그건 뭐에요?,메뉴문의,29
일반 아메리카노랑 같은 거에요?,메뉴문의,29
제조용법이 다른 거에요?,메뉴문의,29
사이즈는 어떻게 돼요?,사이즈문의,47
가격은요?,가격문의,2
삼천팔백 원짜리 드립커피 하나 주세요,일반주문,81
네 이층에도 자리가 있나요?,자리여부문의,84
여기 물은 따로 없나요?,뜨거운차가운물요구,23
네 시럽은 따로 주나요?,시럽설탕요구,52
여기 커피 말고는 음료수 뭐 있어요?,메뉴문의,29
안 차가운건 없어요?,메뉴문의,29
초콜렛 같은 건 없나요?,메뉴문의,29
더블 모카가 초코라떼에요?,메뉴문의,29
커피는 안들어가죠?,메뉴문의,29
사이즈가?,사이즈문의,47
작은 거 하나 주세요,일반주문,81
아뇨 가지고 갈게요,테이크아웃요구,106
네 여기는 할인되거나 이런 카드 없죠?,할인문의,116
혹시 쿠폰은 있어요?,쿠폰멤버십적립문의,101
사용 금액의 몇 퍼센트 적립돼요?,쿠폰멤버십적립문의,101
영수증 좀 주세요,영수증요청,66
여기 오전에는 몇 시에 문 열어요?,영업시간문의,67
